SP,LogMass,LogLength,LogDiameter
14,1.119387874,2,0.336459734
14,1.277998644,2.439332694,0.631443769
14,1.481442629,2.568201724,0.828981954
14,1.681241237,2.643452676,0.846646329
14,1.829303773,2.643452676,0.886772643
15,-2.508638306,1.447158031,0.200029267
15,-1.468521083,0.477121255,-0.148741651
15,-1.26760624,0.698970004,0.426511261
15,-1.200659451,0.602059991,0.263636069
15,-1.187086643,0.477121255,0.010723865
15,-1.180456064,0.77815125,0.217483944
15,-1.148741651,1.301029996,0.325310372
15,-1.070581074,1.322219295,0.309630167
15,-1.050609993,0.77815125,0.452553063
15,-1.045757491,1.146128036,0.393575203
15,-1.040958608,0.698970004,0.138302698
15,-0.978810701,1.431363764,0.058805487
15,-0.966576245,1.544068044,0.342422681
15,-0.93930216,0.698970004,0.096910013
15,-0.924453039,1.477121255,0.183269844
15,-0.913640169,0.84509804,0.404833717
15,-0.850780887,0.77815125,0.269512944
15,-0.769551079,1,0.244277121
15,-0.744727495,1.447158031,0.170261715
15,-0.744727495,0.84509804,0.256477206
15,-0.732828272,0.77815125,0.385606274
15,-0.707743929,0.698970004,0.329397879
15,-0.707743929,0.477121255,0.500373714
15,-0.671620397,0.84509804,0.382917135
15,-0.665546249,1.62324929,0.261262869
15,-0.645891561,1.491361694,0.236789099
15,-0.645891561,1.113943352,0.327358934
15,-0.616184634,0.84509804,0.390935107
15,-0.600326279,1,0.527629901
15,-0.505845406,0.602059991,0.457881897
15,-0.49757288,1.477121255,0.521138084
15,-0.387216143,1.079181246,0.39707055
15,-0.384049948,1.505149978,0.503790683
15,-0.370590401,1,0.494154594
15,-0.321481621,1,0.559906625
15,-0.316052869,0.698970004,0.542825427
15,-0.316052869,1.414973348,0.680788612
15,-0.305394801,0.602059991,0.559906625
15,-0.290730039,1.698970004,0.45331834
15,-0.27083521,0.602059991,0.62838893
15,-0.248720896,0.954242509,0.537189226
15,-0.141462802,1.342422681,0.574031268
15,-0.1123827,1.397940009,0.602059991
15,-0.069050969,1.954242509,0.701999475
15,-0.025949097,1.681241237,0.5132176
15,-0.025028006,0.84509804,0.540329475
15,-0.013228266,1.77815125,0.756255649
15,0.408918021,1.875061263,0.791339704
16,0.458184436,1.812913357,0.66133934
16,1.753583059,2.204119983,1.110252917
16,2.951823035,2.69019608,1.581608366
17,-0.661543506,1.977723605,0.339451441
17,0.468937806,2.267171728,0.751663946
17,0.788875116,2.243038049,1.053078443
17,0.911157609,2.322219295,1.13145826
17,1.807535028,2.748188027,1.364926034
17,2.247482261,2.462397998,1.524136377
17,2.341236623,2.707570176,1.610713382
17,2.669007091,3.075546961,1.674952948
17,2.817499262,3.045322979,1.662757832
17,2.929418926,3.318063335,1.617472144
17,3.077367905,3.328379603,1.653212514
17,3.144574208,3.33243846,1.767155866
17,3.351216345,3.33243846,1.66954931
17,3.673635216,3.311753861,1.954242509
17,3.698535493,3.414973348,1.792391689
17,3.843025052,3.525044807,1.954242509
17,3.844787719,3.5289167,2.041392685
17,3.89181612,3.484299839,1.924279286
17,3.906694129,3.498310554,1.954242509
17,3.915927212,3.612783857,1.949390007
17,3.921166051,3.552668216,2.008600172
17,3.965906915,3.444044796,1.982271233
17,3.982044979,3.545307116,2.041392685
17,4.083980153,3.505149978,2.056904851
17,4.42089049,3.655138435,2.225309282
17,4.466548019,3.767155866,2.36361198
18,-1.568636236,1.397940009,0.01494035
18,-1.48148606,1.397940009,0.117271296
18,-1.397940009,1.397940009,0.07371835
18,-1.013228266,1.924279286,0.176091259
18,-1.008773924,1.447158031,0.08278537
18,-0.761953897,1.72427587,0.263636069
18,-0.716698771,1.568201724,0.264817823
18,-0.675717545,1.929418926,0.264817823
18,-0.539102157,1.968482949,0.254064453
18,-0.522878745,2.190331698,0.275311355
18,-0.420216403,1.812913357,0.369215857
18,-0.262012674,2,0.365487985
18,0.290034611,2.389166084,0.697229343
18,0.596597096,2.477121255,0.63447727
18,0.648360011,2.431363764,0.903361336
18,0.774516966,2.633468456,0.802773725
18,0.926856709,2.643452676,0.877659244
18,0.951823035,2.716003344,0.920123326
18,0.951823035,2.278753601,0.941262909
18,1.229169703,2.806179974,0.920123326
18,1.43055877,2.857332496,1.143170993
18,1.555698895,2.919078092,1.016197354
18,2.04316572,2.963787827,1.194375567
18,2.858717615,3.077367905,1.476614282
19,-0.853871964,1.62324929,0.26599637
19,-0.688246139,1.77815125,0.298853076
19,-0.565431096,1.857332496,0.144574208
19,-0.136082623,1.84509804,0.409933123
19,0.16879202,1.886490725,0.514547753
19,0.206015877,2.278753601,0.405687787
19,0.297979244,2.152288344,0.483587297
19,0.298853076,1.929418926,0.5289167
19,0.305136319,2.149219113,0.530199698
19,0.380030248,2.311753861,0.550228353
19,0.504062883,2.161368002,0.683947131
19,0.553883027,2.161368002,0.630427875
19,0.567731963,2.267171728,0.603144373
19,0.585347911,2.049218023,0.61436984
19,1.138839312,2.392696953,0.77815125
19,1.195899652,2.230448921,0.771219902
19,1.301594212,2.469822016,0.88337749
20,-2.096910013,1.903089987,-0.296708622
20,-1.920818754,2.021189299,-0.346787486
20,-0.876148359,1.929418926,0.128722284
20,-0.571865206,2.161368002,0.210853365
20,-0.440093375,2.342422681,0.249198357
20,-0.42945706,2.130333768,0.209515015
20,-0.238072162,2.544068044,0.324282455
20,-0.023191663,2.531478917,0.385606274
20,0.065579715,2.484299839,0.433769834
20,0.142076461,2.491361694,0.407390904
20,0.96425963,2.806179974,0.759290033
20,1.579726449,2.562292864,1.396896449
20,1.704407927,2.73239376,1.380482591
20,1.753230578,2.857332496,1.164352856
20,1.983991428,2.602059991,1.608739919
20,2.0617502,2.556302501,1.591287265
20,2.164947373,2.633468456,1.594171479
20,2.214048679,2.929418926,1.738106404
20,2.501470072,2.67669361,1.77261505
21,-0.821023053,2.021189299,0.533390708
21,0.200576927,2.301029996,0.869525063
21,0.659726095,2.531478917,1.05422991
21,0.73045926,2.748188027,1.036628895
21,0.898286279,2.505149978,1.216165902
21,0.941113727,2.638489257,1.004965887
21,0.942156928,2.648360011,1.178833117
21,1.006380459,2.69019608,1.139564266
21,1.03193334,2.596597096,1.139249218
21,1.135418905,2.562292864,1.006679928
21,1.424260772,2.740362689,1.235149536
21,1.43836828,2.685741739,1.379124146
21,1.489086204,2.62838893,1.527951958
21,1.807088327,2.908485019,1.347037134
21,1.892283869,2.835690571,1.589279221
21,1.96908494,2.86923172,1.612571954
21,2.644832329,2.949390007,1.831581855
21,2.649432223,2.944482672,1.739532789
21,3.093946724,3.012837225,2.204119983
21,3.395099137,3.130333768,2.443262987
22,0.986771734,2.447158031,0.86421433
22,1.073021454,2.361727836,0.924537718
22,1.317018101,2.643452676,0.783903579
22,1.352549101,2.431363764,0.88422877
22,1.545925329,2.633468456,1.2757719
22,1.567026366,2.531478917,0.958085849
22,1.572871602,2.707570176,1.184975191
22,1.642958879,2.591064607,0.999130541
22,1.705863712,2.602059991,1.114360743
22,1.884795364,2.77815125,1.119090852
22,1.922725458,2.62324929,1.210719716
22,2.08170727,2.73239376,1.263754389
22,2.088844563,2.62324929,1.477265995
22,2.138618434,2.491361694,1.61452812
22,2.14082218,2.72427587,1.103119254
22,2.160468531,2.770852012,1.244524512
22,2.345569756,2.770852012,1.303304077
22,2.354876423,2.73239376,1.215373153
22,2.411788005,2.568201724,1.424146306
22,2.430880946,2.799340549,1.127509735
22,2.525433553,2.681241237,1.69050618
22,2.567849451,2.62324929,1.56139956
22,2.575880316,2.826074803,1.309417226
22,2.594171479,2.707570176,1.476831629
22,2.70457945,2.86923172,1.571475904
22,2.721398376,2.812913357,1.487915731
22,2.727134424,2.826074803,1.446070936
22,2.906819715,2.897627091,1.5132176
22,3.024033898,2.880813592,1.542825427
22,3.095169351,2.919078092,1.513350799
